Profile;Social network;Number of Reactions, Comments & Shares;Profile-ID;Link;
"Delegado Roberto Monteiro";YOUTUBE;0.0;UCjXKpS2Y5zpBSX26TaRzUbA;https://www.fanpagekarma.com/discovery?view=PROFILES&id=UCjXKpS2Y5zpBSX26TaRzUbA&n=YOUTUBE&tl0=profiles;
"Sargento Galesco";TWITTER;0.0;1281768561292333059;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1281768561292333059&n=TWITTER&tl0=profiles;
"Sargento Galesco";FACEBOOK;0.0;235969629943096;https://www.fanpagekarma.com/discovery?view=PROFILES&id=235969629943096&n=FACEBOOK&tl0=profiles;
"Rita Guedes";TWITTER;0.0;1553464451235549184;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1553464451235549184&n=TWITTER&tl0=profiles;
"Bioto NPN";TWITTER;0.0;1593929254823157763;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1593929254823157763&n=TWITTER&tl0=profiles;
"Amigos do capitão";FACEBOOK;0.0;1914979155431211;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1914979155431211&n=FACEBOOK&tl0=profiles;
"Osvaldo Machado";TWITTER;0.0;1531350975780364291;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1531350975780364291&n=TWITTER&tl0=profiles;
"marcio kenji ";YOUTUBE;0.0;UC6ROXCZrWXi2w0MBeeIyzkQ;https://www.fanpagekarma.com/discovery?view=PROFILES&id=UC6ROXCZrWXi2w0MBeeIyzkQ&n=YOUTUBE&tl0=profiles;
"Tenente Coronel Rodrigo Bispo";INSTAGRAM;0.0;46582419083;https://www.fanpagekarma.com/discovery?view=PROFILES&id=46582419083&n=INSTAGRAM&tl0=profiles;
"Roberto Monteiro";FACEBOOK;0.0;1635650163353182;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1635650163353182&n=FACEBOOK&tl0=profiles;
"Tenente Bahia";FACEBOOK;0.0;112211857013556;https://www.fanpagekarma.com/discovery?view=PROFILES&id=112211857013556&n=FACEBOOK&tl0=profiles;
"SargentoNantes";TWITTER;0.0;3349391572;https://www.fanpagekarma.com/discovery?view=PROFILES&id=3349391572&n=TWITTER&tl0=profiles;
"policialmachado";TIKTOK;0.0;7132858857336030213;https://www.fanpagekarma.com/discovery?view=PROFILES&id=7132858857336030213&n=TIKTOK&tl0=profiles;
"Tenente Bahia • Paternidade Ativa";YOUTUBE;0.0;UCGjV9KpU-XbuXwv_hoAuqkA;https://www.fanpagekarma.com/discovery?view=PROFILES&id=UCGjV9KpU-XbuXwv_hoAuqkA&n=YOUTUBE&tl0=profiles;
"Alisson Souza";TWITTER;0.0;1486670434309492740;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1486670434309492740&n=TWITTER&tl0=profiles;
"Sargento Nantes ROTA";FACEBOOK;0.0;382858871905792;https://www.fanpagekarma.com/discovery?view=PROFILES&id=382858871905792&n=FACEBOOK&tl0=profiles;
